,course_title,start_date,students_number
222,JavaScript с нуля,2017-08-01,0
223,JavaScript с нуля,2017-09-01,0
224,JavaScript с нуля,2017-10-01,0
225,JavaScript с нуля,2017-11-01,0
226,JavaScript с нуля,2017-12-01,0
227,JavaScript с нуля,2018-01-01,0
228,JavaScript с нуля,2018-02-01,3
229,JavaScript с нуля,2018-03-01,10
230,JavaScript с нуля,2018-04-01,9
231,JavaScript с нуля,2018-05-01,31
232,JavaScript с нуля,2018-06-01,55
233,JavaScript с нуля,2018-07-01,77
234,JavaScript с нуля,2018-08-01,95
235,JavaScript с нуля,2018-09-01,104
236,JavaScript с нуля,2018-10-01,154
237,JavaScript с нуля,2018-11-01,181
238,JavaScript с нуля,2018-12-01,257
239,JavaScript с нуля,2019-01-01,209
240,JavaScript с нуля,2019-02-01,183
241,JavaScript с нуля,2019-03-01,158
242,JavaScript с нуля,2019-04-01,151
243,JavaScript с нуля,2019-05-01,177
244,JavaScript с нуля,2019-06-01,158
245,JavaScript с нуля,2019-07-01,118
246,Анимация интерфейсов,2016-03-01,0
247,Анимация интерфейсов,2016-04-01,0
248,Анимация интерфейсов,2016-05-01,0
249,Анимация интерфейсов,2016-06-01,0
250,Анимация интерфейсов,2016-07-01,0
251,Анимация интерфейсов,2016-08-01,0
252,Анимация интерфейсов,2016-09-01,0
253,Анимация интерфейсов,2016-10-01,0
254,Анимация интерфейсов,2016-11-01,0
255,Анимация интерфейсов,2016-12-01,0
256,Анимация интерфейсов,2017-01-01,0
257,Анимация интерфейсов,2017-02-01,0
258,Анимация интерфейсов,2017-03-01,0
259,Анимация интерфейсов,2017-04-01,0
260,Анимация интерфейсов,2017-05-01,0
261,Анимация интерфейсов,2017-06-01,0
262,Анимация интерфейсов,2017-07-01,1
263,Анимация интерфейсов,2017-08-01,0
264,Анимация интерфейсов,2017-09-01,1
265,Анимация интерфейсов,2017-10-01,1
266,Анимация интерфейсов,2017-11-01,0
267,Анимация интерфейсов,2017-12-01,0
268,Анимация интерфейсов,2018-01-01,9
269,Анимация интерфейсов,2018-02-01,33
270,Анимация интерфейсов,2018-03-01,39
271,Анимация интерфейсов,2018-04-01,34
272,Анимация интерфейсов,2018-05-01,41
273,Анимация интерфейсов,2018-06-01,162
274,Анимация интерфейсов,2018-07-01,143
275,Анимация интерфейсов,2018-08-01,105
276,Анимация интерфейсов,2018-09-01,110
277,Анимация интерфейсов,2018-10-01,81
278,Анимация интерфейсов,2018-11-01,85
279,Анимация интерфейсов,2018-12-01,120
280,Анимация интерфейсов,2019-01-01,112
281,Анимация интерфейсов,2019-02-01,80
282,Анимация интерфейсов,2019-03-01,73
283,Анимация интерфейсов,2019-04-01,46
284,Анимация интерфейсов,2019-05-01,46
285,Анимация интерфейсов,2019-06-01,49
286,Анимация интерфейсов,2019-07-01,34
287,Веб-дизайн PRO 2.0,2016-03-01,0
288,Веб-дизайн PRO 2.0,2016-04-01,0
289,Веб-дизайн PRO 2.0,2016-05-01,0
290,Веб-дизайн PRO 2.0,2016-06-01,0
291,Веб-дизайн PRO 2.0,2016-07-01,0
292,Веб-дизайн PRO 2.0,2016-08-01,0
293,Веб-дизайн PRO 2.0,2016-09-01,0
294,Веб-дизайн PRO 2.0,2016-10-01,0
295,Веб-дизайн PRO 2.0,2016-11-01,0
296,Веб-дизайн PRO 2.0,2016-12-01,0
297,Веб-дизайн PRO 2.0,2017-01-01,0
298,Веб-дизайн PRO 2.0,2017-02-01,0
299,Веб-дизайн PRO 2.0,2017-03-01,0
300,Веб-дизайн PRO 2.0,2017-04-01,0
301,Веб-дизайн PRO 2.0,2017-05-01,0
302,Веб-дизайн PRO 2.0,2017-06-01,0
303,Веб-дизайн PRO 2.0,2017-07-01,0
304,Веб-дизайн PRO 2.0,2017-08-01,0
305,Веб-дизайн PRO 2.0,2017-09-01,0
306,Веб-дизайн PRO 2.0,2017-10-01,0
307,Веб-дизайн PRO 2.0,2017-11-01,0
308,Веб-дизайн PRO 2.0,2017-12-01,0
